Category,Sub-Category,Product 1,Product 2,Product 3,Product 4,Product 5,Product 6,Product 7,Product 8,Product 9,Product 10,Product 11,Product 12,Product 13,Product 14
Baby Care,Baby & Toddler Food,Once Upon a Farm Tractor Wheels Toddler Bars,,,,,,,,,,,,,
Baby Care,Baby Care,CeraVe Baby Healing Ointment,Desitin Maximum Strength Diaper Rash Cream,Huggies Natural Care Baby Wipes,Pampers Swaddlers Size 5 Diapers,Safety 1st Soft Grip Brush & Comb,,,,,,,,,
Pantry,Baking Ingredients,"King Arthur Unbleached Bread Flour, 10 lb",Nestle Toll House Allergen-Free Dark Chocolate Baking Chips,Nestle Toll House Dark Chocolate Baking Chips,,,,,,,,,,,
Dessert,Baking Mixes,Ghirardelli Gluten-Free Double Chocolate Brownie Mix,King Arthur Gluten-Free Pancake Mix,,,,,,,,,,,,
"Toiletries, Cleaning and Disposables",Body Wash,Dove Sensitive Skin Body Wash,,,,,,,,,,,,,
Bakery,Bread,Dave's Killer Bread Oats & Blues,Dave's Killer Bread Organic Oats & Blues,Gluten-Free Wide Pan Bread,No [or possibly Nature's Own] Honey Wheat Bread,,,,,,,,,,
Pantry,Canned Beans & Legumes,Dark Red Kidney Beans,Organic Chickpeas,,,,,,,,,,,,
Pets,Cat Litter,Purina Tidy Cats Clumping Cat Litter,,,,,,,,,,,,,
Dairy,Cheese,Cabot Mexican Shredded Cheese,,,,,,,,,,,,,
NA,Coffee Creamer,Starbucks Oatmilk Brown Sugar Creamer,,,,,,,,,,,,,
Pantry,Crackers,Peanut Butter Toast Crackers,,,,,,,,,,,,,
Dairy,Cream & Half-and-Half,"Publix Half & Half, Half Gallon",,,,,,,,,,,,,
Pantry,Croutons,Organic Croutons,,,,,,,,,,,,,
Meat,Deli Meat,Hillshire Farm Oven Roasted Turkey Breast,,,,,,,,,,,,,
"Toiletries, Cleaning and Disposables",Deodorant,Dove Men+Care Antiperspirant,,,,,,,,,,,,,
Condiments & Seasonings,Dips & Spreads,Hummus Mini Cups,,,,,,,,,,,,,
"Toiletries, Cleaning and Disposables",Dishwashing Supplies,Dawn Dish Cleaning Brush Wand,,,,,,,,,,,,,
"Toiletries, Cleaning and Disposables",Disposable Tableware,"Everyday Paper Plates, 8.5 Inch",,,,,,,,,,,,,
Eggs,Eggs,Great Value Large White Eggs,,,,,,,,,,,,,
Fees,Fees & Charges,Driver Tip,Express Delivery Fee,Price Adjustment,Sales Tax,Tax,Tip,,,,,,,,
"Toiletries, Cleaning and Disposables",Food Storage,Ziploc Gallon Freezer Bags,Ziploc Quart Freezer Bags,,,,,,,,,,,,
Produce,Fresh Fruit,Bananas,Blueberries,Golden Kiwi,Mandarin Oranges,Mango,Persian Limes,Pink Lady Apples,"Strawberries, 1 lb",,,,,,
Produce,Fresh Herbs,Cilantro,Parsley,,,,,,,,,,,,
