Total,,Store,Six-Digit SKU,Product,Tax Code,Store Number,Common Name,Sub-Category,Date 1,Price 1,Date 2,Price 2,Date 3,Price 3,Date 4,Price 4,Date 5,Price 5,Date 6,Price 6
"=SUM(K2,M2,O2,Q2,S2,U2)",,Walmart,NA,"GHIRARDELLI Gluten Free Double Chocolate Brownie Mix, Gluten Free Baking Mix, Includes Chocolate Chips, 18 oz Box 20 shopped Qty1",NA,0,Ghirardelli Gluten-Free Double Chocolate Brownie Mix,Baking Mixes,2026-08-06 00:00:00,6.67,,,,,,,,,,
"=SUM(K3,M3,O3,Q3,S3,U3)",,Walmart,NA,"Pampers Swaddlers Fragrance Free Baby Diapers Size 5, 100 Count (Select for More Options) 20 shopped Qty1",NA,0,Pampers Swaddlers Size 5 Diapers,Baby Care,2026-08-06 00:00:00,39.77,,,,,,,,,,
"=SUM(K4,M4,O4,Q4,S4,U4)",,Walmart,NA,Chobani Oatmilk Extra Creamy 52 floz Carton 20 shopped aty1,NA,0,Chobani Extra Creamy Oatmilk,Plant-Based Milk,2026-08-06 00:00:00,4.17,,,,,,,,,,
"=SUM(K5,M5,O5,Q5,S5,U5)",,Walmart,NA,"Nestle Toll House Dark Chocolate Regular Baking Chips, 10 oz Bag 20 shopped Qty1",NA,0,Nestle Toll House Dark Chocolate Baking Chips,Baking Ingredients,2026-08-06 00:00:00,4.96,,,,,,,,,,
"=SUM(K6,M6,O6,Q6,S6,U6)",,Walmart,NA,"McCormick Sea Salt Grinder, oz Bottle 20 shopped aty1",NA,0,McCormick Sea Salt Grinder,Seasonings & Spices,2026-08-06 00:00:00,2.54,,,,,,,,,,
"=SUM(K7,M7,O7,Q7,S7,U7)",,Walmart,NA,"Fresh Banana, Each 7 weight adjusted Qty7",NA,0,Bananas,Fresh Fruit,2026-08-06 00:00:00,3.48,,,,,,,,,,
"=SUM(K8,M8,O8,Q8,S8,U8)",,Walmart,NA,3 hours orless,NA,0,Express Delivery Fee,Fees & Charges,2026-08-06 00:00:00,5,,,,,,,,,,
"=SUM(K9,M9,O9,Q9,S9,U9)",,Walmart,NA,diff,NA,0,Price Adjustment,Fees & Charges,2026-08-06 00:00:00,2.77,,,,,,,,,,
"=SUM(K10,M10,O10,Q10,S10,U10)",,Walmart,NA,"Safety 1 Soft Grip Brush & Comb, Artic Blue",NA,0,Safety 1st Soft Grip Brush & Comb,Baby Care,2026-08-06 00:00:00,4.48,2026-08-07 00:00:00,4.48,,,,,,,,
"=SUM(K11,M11,O11,Q11,S11,U11)",,Walmart,NA,The Honest Company Conditioning Detangler Sweet Cream Comfort 4 floz,NA,0,Honest Company Conditioning Detangler,Hair Care,2026-08-06 00:00:00,6.96,2026-08-07 00:00:00,6.96,,,,,,,,
"=SUM(K12,M12,O12,Q12,S12,U12)",,Walmart,NA,"Nestle Toll House Organic Allergen Free Dark Chocolate Regular Baking Chips, Morsels for Baking, 9 oz Bag",NA,0,Nestle Toll House Allergen-Free Dark Chocolate Baking Chips,Baking Ingredients,2026-08-06 00:00:00,8.37,2026-08-07 00:00:00,8.37,,,,,,,,
"=SUM(K13,M13,O13,Q13,S13,U13)",,Walmart,NA,"Purina Tidy Cats With Glade Clear Springs Scented, Odor Control, Clumping Multi-Cat Litter 20 shopped Qty2",NA,0,Purina Tidy Cats Clumping Cat Litter,Cat Litter,2026-08-06 00:00:00,23.94,2026-08-07 00:00:00,23.94,,,,,,,,
"=SUM(K14,M14,O14,Q14,S14,U14)",,Walmart,NA,"Lawry's Kosher Coarse Ground With Parsley Garlic Salt, 6.0 oz Bottle",NA,0,Lawry's Garlic Salt,Seasonings & Spices,2026-08-06 00:00:00,3.16,2026-08-07 00:00:00,3.16,,,,,,,,
"=SUM(K15,M15,O15,Q15,S15,U15)",,Walmart,NA,"Huggies Natural Care Sensitive Baby Wipes, Unscented, 3 Flip-Top Packs, 168 Count 20 shopped Qty1",NA,0,Huggies Natural Care Baby Wipes,Baby Care,2026-08-06 00:00:00,5.82,2026-08-07 00:00:00,5.82,,,,,,,,
"=SUM(K16,M16,O16,Q16,S16,U16)",,Walmart,NA,"Desitin Maximum Strength Diaper Rash Cream, 40% Zinc Oxide, 4.8 oz",NA,0,Desitin Maximum Strength Diaper Rash Cream,Baby Care,2026-08-06 00:00:00,7.97,2026-08-07 00:00:00,7.97,,,,,,,,
"=SUM(K17,M17,O17,Q17,S17,U17)",,Walmart,NA,"fairlife Lactose Free Reduced Fat Chocolate Ultra Filtered Milk, 52 floz",NA,0,Fairlife Chocolate Milk,Milk,2026-08-06 00:00:00,5.32,2026-08-07 00:00:00,5.32,,,,,,,,
